City,Year,Population
Allentown,1991,100160
Allentown,1992,100783
Allentown,1993,101653
Allentown,1994,102239
Allentown,1995,102899
Allentown,1996,104205
Allentown,1997,104865
Allentown,1998,105402
Allentown,1999,106200
Allentown,2000,106606
Allentown,2001,106446
Allentown,2002,105997
Allentown,2003,106235
Allentown,2004,106529
Allentown,2005,106895
Allentown,2006,107275
Allentown,2007,107614
Allentown,2008,108017
Allentown,2009,108059
Allentown,2010,118040
Allentown,2011,118718
Allentown,2012,118825
Allentown,2013,118778
Allentown,2014,119127
Allentown,2015,120039
Allentown,2016,120410
Allentown,2017,121080
Allentown,2018,121535
Allentown,2019,121406
Allentown,2020,125855
Allentown,2021,125731
Allentown,2022,125833
Allentown,2023,125347
Allentown,2024,127138
Reading,1991,78105
Reading,1992,78000
Reading,1993,78120
Reading,1994,78300
Reading,1995,78410
Reading,1996,78750
Reading,1997,79220
Reading,1998,79900
Reading,1999,80400
Reading,2000,81014
Reading,2001,80585
Reading,2002,80417
Reading,2003,80403
Reading,2004,80400
Reading,2005,80462
Reading,2006,80917
Reading,2007,81035
Reading,2008,80893
Reading,2009,80984
Reading,2010,88045
Reading,2011,88200
Reading,2012,88149
Reading,2013,88277
Reading,2014,88186
Reading,2015,88061
Reading,2016,88155
Reading,2017,88151
Reading,2018,88512
Reading,2019,88395
Reading,2020,94983
Reading,2021,94963
Reading,2022,95011
Reading,2023,95353
Reading,2024,96000